,id,Energia (kJ / kcal),Zsír (g), Telített zsírsavak  (g),Szénhidrát  (g), Cukrok  (g),Fehérje (g),Só (g),Rost  (g),Folsav (µg),Nátrium (g), Poliolok  (g), Egyszeresen telítetlen zsírsavak  (g), Többszörösen telítetlen zsírsavak  (g), Ebből koleszterin, Keményítő  (g),A vitamin (µg),D vitamin (µg),E vitamin (mg),K vitamin (µg),C vitamin (mg),Tiamin (mg),Riboflavin (mg),Niacin (mg),B6 vitamin (mg),B 12 vitamin (µg),Biotin (µg),Pantoténsav (mg),Kálium (mg),Klorid (mg),Kalcium (mg),Foszfor (mg),Magnézium (mg),Vas (mg),Cink  (mg),Réz  (mg),Mangán  (mg),Fluor (µg),Szelén (µg),Króm (µg),Molibdén (µg),Jód (µg)
53,4006784,296/71,2.8000,0.2000,8.5000,5.6000,1.0000,0.1200,3.9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,34543,1515/358,3.0000,0.8000,69.0000,1.1000,12.0000,0.0700,3.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4006781,240/58,3.4000,0.3000,3.5000,0.0000,1.1000,0.0300,4.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,41785,1482/350,2.7000,0.6000,66.8000,1.1000,12.9000,0.1000,3.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3981394,1515/358,3.0000,0.8000,69.0000,1.1000,12.0000,0.0700,3.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,31183,1515/358,3.0000,0.8000,69.0000,1.1000,12.0000,0.0700,3.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4038134,1659/394,11.6000,6.5000,68.3000,51.2000,3.2000,0.3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3977890,2385/572,38.0000,8.7000,54.0000,52.0000,3.8000,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4044255,1482/349,0.5000,0.1000,82.0000,63.0000,4.5000,0.0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3859703,1597/382,12.7000,4.7000,53.3000,13.8000,7.0000,0.4000,19.0000,,,,152/38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4118341,2210/529,"29,3","17,6","56,1","55,0","9,1","0,33",,,,,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3947635,1867/444,18.0000,5.2000,63.0000,11.0000,9.1000,2.5000,5.5000,,,"5,5","5,5","5,5",,"5,5",,,,"5,5",,,,,,"5,5",,,,,,,,,,,,,,,,
65,4117257,2229/534,31,15,52,49,"9,8","0,21",0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3606979,1996/484,46.0000,28.0000,33.0000,0.5000,8.3000,0.0400,"9,1",29.0000,,29.0000,29,"9,1",,29.0000,"9,1",,29.0000,"9,1",29.00000,,,"9,1",,"9,1","9,1",,,"9,1",,29.00000,,"9,1",,,,,,29.00000,,"9,1"
67,3641252,310/73,0.5000,0.1000,15.9000,15.7000,1.6000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3931228,1863/443,14.0000,1.7000,71.0000,7.6000,5.0000,1.4000,4.0000,,,4.0000,4.0000,4.0000,,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,,,,,,4.0000,,,,,,,4.0000,,,,,,,,
69,4121052,517/123,2.1000,0.3000,16.0000,0.4000,7.1000,0.0800,5.8000,,,,"5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4011281,977/230,0.0000,0.0000,56.0000,56.0000,0.5000,0.0200,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3728281,735/173,0.8000,0.3000,41.0000,39.0000,0.5000,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4020833,1.943000/464.000000,48.000000,7.500000,2.800000,1.200000,4.200000,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4008926,756/178,1.2000,0.4000,41.0000,39.0000,0.5000,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--
74,3832475,934.000000/224.000000,19.800000,6.500000,3.700000,2.700000,6.500000,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3601694,1111/264,0.5000,0.0000,64.0000,63.0000,0.5000,0.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4007984,538/130,9.3000,0.7000,9.8000,7.7000,0.9000,0.3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3640142,147/35,0.1000,0,9.0000,"7,8",0.5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3640052,192/46,0.3000,0.0000,11.0000,9.0000,1.0000,0.0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3600896,108/26,0.8000,0.1000,0.5000,0.3000,3.1000,0.0400,2.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8344,295/70,0.6000,0.1000,9.0000,4.1000,4.9000,0.0100,4.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
